TMDB43839,movie,Alexander's Ragtime Band,,,1938,1090 Point Lobos Ave.,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,6
TMDB1405,movie,Greed,,,1924,1090 Point Lobos Ave.,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt,6
TMDB9880,movie,The Princess Diaries,,,2001,1090 Point Lobos Ave.,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,6
TMDB340793,tv,Chance,1,109,2016,1090 Point Lobos Ave.,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,6
TMDB340793,tv,Chance,1,110,2016,1090 Point Lobos Ave.,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,6
TMDB57774,tv,Looking,,,2016,Point Lobos Avenue,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,6
TMDB343,movie,Harold and Maude,,,1971,Sutro Baths (Point Lobos Avenue),Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,,6
TMDB24508,movie,The Lineup,,,1958,Sutro Baths (Point Lobos Avenue),Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,6
TMDB513243,movie,The Etruscan Smile,,,2019,100 34th Ave,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,7
TMDB10139,movie,Milk,,,2008,El Camino Del Mar,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,7
